mode,min_samples,convention,seed,swing_ari,swing_instability,swing_n,ari_vs_truth,n_eval,noise,clusters
title_artist,2,single_cluster,1017,0.9792835334353667,0.02071646656463333,2911,0.1460082593157419,438,0.45001717622810034,38
title_artist,2,singletons,1017,0.9979818379150021,0.002018162084997943,2911,0.43954149317119406,438,0.45001717622810034,38
title_artist,2,exclude,1018,1.0,0.0,1599,0.6655939658119094,240,0.44280316042597045,38
title_artist,2,single_cluster,1018,0.9740578660075417,0.02594213399245826,2911,0.14807688489751428,438,0.44280316042597045,38
title_artist,2,singletons,1018,0.9974937702174667,0.0025062297825333424,2911,0.43935228963738854,438,0.44280316042597045,38
title_artist,2,exclude,1019,0.9979376435933471,0.0020623564066528655,1577,0.661325751388618,238,0.45139127447612504,40
title_artist,2,single_cluster,1019,0.9564582943850936,0.043541705614906445,2911,0.14255080663305916,436,0.45139127447612504,40
title_artist,2,singletons,1019,0.9881680771549693,0.011831922845030651,2911,0.4327210775031583,436,0.45139127447612504,40
title_artist,5,exclude,1000,1.0,0.0,1273,0.72439753475406,189,0.5582274132600481,27
title_artist,5,single_cluster,1000,0.9825609079450416,0.017439092054958416,2911,0.08137755840958587,436,0.5582274132600481,27
title_artist,5,singletons,1000,0.9966545177735597,0.003345482226440266,2911,0.42127602006869,436,0.5582274132600481,27
title_artist,5,exclude,1001,0.9995548232858902,0.0004451767141098184,1264,0.7237322340475397,183,0.563723806252147,25
title_artist,5,single_cluster,1001,0.9804297222724128,0.019570277727587237,2911,0.0737211736362914,435,0.563723806252147,25
title_artist,5,singletons,1001,0.9932183924640002,0.006781607535999767,2911,0.407491102588522,435,0.563723806252147,25
title_artist,5,exclude,1002,1.0,0.0,1268,0.7260393631396804,186,0.5613191343181038,26
title_artist,5,single_cluster,1002,0.9830582297756786,0.016941770224321417,2911,0.07796784385428024,437,0.5613191343181038,26
title_artist,5,singletons,1002,0.9939229633579726,0.006077036642027411,2911,0.41179976779641253,437,0.5613191343181038,26
title_artist,5,exclude,1003,1.0,0.0,1273,0.7242742834938871,187,0.5620061834421161,26
title_artist,5,single_cluster,1003,0.9917205342119204,0.008279465788079587,2911,0.07784601635339145,437,0.5620061834421161,26
title_artist,5,singletons,1003,0.9950930659106213,0.004906934089378701,2911,0.41241306344674816,437,0.5620061834421161,26
title_artist,5,exclude,1004,0.999775367239239,0.00022463276076101213,1276,0.7234697697055397,187,0.5585709378220542,26
title_artist,5,single_cluster,1004,0.9858283872714563,0.014171612728543725,2911,0.07829387028673654,437,0.5585709378220542,26
title_artist,5,singletons,1004,0.9956961557632593,0.004303844236740684,2911,0.411585308183749,437,0.5585709378220542,26
title_artist,5,exclude,1005,0.999760033290779,0.0002399667092209956,1271,0.7258159685557971,189,0.5620061834421161,26
title_artist,5,single_cluster,1005,0.9867630412385876,0.013236958761412398,2911,0.08159662883237949,438,0.5620061834421161,26
title_artist,5,singletons,1005,0.9891792972589135,0.010820702741086485,2911,0.41997287736448363,438,0.5620061834421161,26
title_artist,5,exclude,1006,0.9997737027445686,0.0002262972554314402,1273,0.7238637565184607,188,0.5585709378220542,26
title_artist,5,single_cluster,1006,0.9820849969501445,0.017915003049855494,2911,0.0789999091377517,438,0.5585709378220542,26
title_artist,5,singletons,1006,0.9928278441951872,0.007172155804812785,2911,0.41125037061303,438,0.5585709378220542,26
title_artist,5,exclude,1007,0.9989167998784027,0.0010832001215973497,1272,0.713577189182027,186,0.5582274132600481,27
title_artist,5,single_cluster,1007,0.9788347512402509,0.021165248759749122,2911,0.07173302650078545,437,0.5582274132600481,27
title_artist,5,singletons,1007,0.9938752956355028,0.006124704364497191,2911,0.3969347599474747,437,0.5582274132600481,27
title_artist,5,exclude,1008,1.0,0.0,1278,0.7258159685557971,189,0.5589144623840605,26
title_artist,5,single_cluster,1008,0.9928356958094294,0.0071643041905705696,2911,0.08243239473848672,437,0.5589144623840605,26
title_artist,5,singletons,1008,0.9972903537495525,0.0027096462504474506,2911,0.4200977033817649,437,0.5589144623840605,26
title_artist,5,exclude,1009,1.0,0.0,1276,0.7222656507816491,188,0.5599450360700791,26
title_artist,5,single_cluster,1009,0.991918201393548,0.008081798606451973,2911,0.07788826728760964,438,0.5599450360700791,26
title_artist,5,singletons,1009,0.9967423761817955,0.0032576238182044914,2911,0.4111055742662743,438,0.5599450360700791,26
title_artist,5,exclude,1010,1.0,0.0,1266,0.721233893736555,186,0.5626932325661285,26
title_artist,5,single_cluster,1010,0.9776415092187332,0.022358490781266838,2911,0.07504946488699803,437,0.5626932325661285,26
title_artist,5,singletons,1010,0.9840071916394453,0.015992808360554722,2911,0.40350040498775025,437,0.5626932325661285,26
title_artist,5,exclude,1011,1.0,0.0,1276,0.725034561236512,190,0.556166265888011,27
title_artist,5,single_cluster,1011,0.9814054175081072,0.01859458249189283,2911,0.08173263584994553,438,0.556166265888011,27
title_artist,5,singletons,1011,0.994162448806243,0.005837551193756951,2911,0.41997287736448363,438,0.556166265888011,27
title_artist,5,exclude,1012,1.0,0.0,1274,0.7244814725266348,188,0.557883888698042,27
title_artist,5,single_cluster,1012,0.9822665670205327,0.01773343297946728,2911,0.07832860009317354,437,0.557883888698042,27
title_artist,5,singletons,1012,0.9941695432287653,0.005830456771234727,2911,0.41096607729980916,437,0.557883888698042,27
title_artist,5,exclude,1013,1.0,0.0,1270,0.7248230743898028,187,0.5609756097560976,26
title_artist,5,single_cluster,1013,0.9830259078477678,0.016974092152232223,2911,0.07737741262978812,438,0.5609756097560976,26
title_artist,5,singletons,1013,0.9862431794205038,0.013756820579496232,2911,0.41149185241286235,438,0.5609756097560976,26
title_artist,5,exclude,1014,0.9997669267829391,0.00023307321706089734,1275,0.724013953837789,188,0.5568533150120234,27
title_artist,5,single_cluster,1014,0.9792786474118206,0.02072135258817942,2911,0.07750049562273778,438,0.5568533150120234,27
title_artist,5,singletons,1014,0.990445707821781,0.009554292178219015,2911,0.41149185241286235,438,0.5568533150120234,27
title_artist,5,exclude,1015,1.0,0.0,1271,0.724013953837789,188,0.5599450360700791,27
title_artist,5,single_cluster,1015,0.9833897442040233,0.016610255795976747,2911,0.07774489315591863,437,0.5599450360700791,27
title_artist,5,singletons,1015,0.996470253102513,0.003529746897486974,2911,0.41287005840191526,437,0.5599450360700791,27
title_artist,5,exclude,1016,0.999782826669331,0.00021717333066895161,1271,0.7246543490618857,184,0.5602885606320852,26
title_artist,5,single_cluster,1016,0.9838534723564017,0.016146527643598252,2911,0.07428820811854167,435,0.5602885606320852,26
title_artist,5,singletons,1016,0.9934156503784963,0.006584349621503671,2911,0.4074921621323759,435,0.5602885606320852,26
title_artist,5,exclude,1017,1.0,0.0,1267,0.7158706658382341,187,0.5596015115080728,27
title_artist,5,single_cluster,1017,0.9744714180008585,0.025528581999141542,2911,0.07209198172421306,438,0.5596015115080728,27
title_artist,5,singletons,1017,0.9928898407418539,0.007110159258146065,2911,0.3994358396031923,438,0.5596015115080728,27
title_artist,5,exclude,1018,0.9997790494569089,0.00022095054309112516,1272,0.7283260599837001,188,0.5602885606320852,26
title_artist,5,single_cluster,1018,0.9843224846638958,0.015677515336104175,2911,0.08106946300784497,438,0.5602885606320852,26
title_artist,5,singletons,1018,0.9902358187993877,0.009764181200612287,2911,0.4203624641623081,438,0.5602885606320852,26
title_artist,5,exclude,1019,0.9991396032642494,0.0008603967357505571,1264,0.7186617766634846,186,0.5606320851940914,27
title_artist,5,single_cluster,1019,0.9708541296150717,0.02914587038492833,2911,0.07305625615093161,436,0.5606320851940914,27
title_artist,5,singletons,1019,0.9835970116570024,0.016402988342997582,2911,0.4041337803908777,436,0.5606320851940914,27
title_artist,10,exclude,1000,0.9193343164475886,0.08066568355241144,1085,0.7366475862237867,165,0.6248711782892477,20
title_artist,10,single_cluster,1000,0.8109074850171357,0.18909251498286428,2911,0.05484840297295193,436,0.6248711782892477,20
title_artist,10,singletons,1000,0.7290666474373073,0.2709333525626927,2911,0.37860657610245146,436,0.6248711782892477,20
title_artist,10,exclude,1001,0.9198644962453807,0.08013550375461931,1087,0.732766479233194,161,0.6245276537272415,20
title_artist,10,single_cluster,1001,0.8130742547184182,0.1869257452815818,2911,0.051149154837403114,435,0.6245276537272415,20
title_artist,10,singletons,1001,0.7303360339453207,0.26966396605467935,2911,0.3729522204489841,435,0.6245276537272415,20
title_artist,10,exclude,1002,1.0,0.0,1274,0.6037012732691187,187,0.5606320851940914,16
title_artist,10,single_cluster,1002,0.9936203813576236,0.00637961864237635,2911,0.06921523284659933,437,0.5606320851940914,16
title_artist,10,singletons,1002,0.9970838052604809,0.0029161947395190957,2911,0.3529864119828333,437,0.5606320851940914,16
title_artist,10,exclude,1003,0.9238678351101466,0.07613216488985342,1078,0.7385680920134553,162,0.6279628993473033,20
title_artist,10,single_cluster,1003,0.8080816352110501,0.19191836478894986,2911,0.052288295252031984,437,0.6279628993473033,20
title_artist,10,singletons,1003,0.7276537562653336,0.2723462437346664,2911,0.37822619498486865,437,0.6279628993473033,20
title_artist,10,exclude,1004,0.9174593692968749,0.08254063070312512,1084,0.7367417502381994,163,0.6252147028512539,20
title_artist,10,single_cluster,1004,0.8077648731555735,0.19223512684442645,2911,0.05270596221620891,437,0.6252147028512539,20
title_artist,10,singletons,1004,0.7232994097202369,0.2767005902797631,2911,0.37735713552962047,437,0.6252147028512539,20
title_artist,10,exclude,1005,0.9208344552276412,0.07916554477235882,1084,0.736086055787558,162,0.6252147028512539,20
title_artist,10,single_cluster,1005,0.8093756950290256,0.19062430497097438,2911,0.05188488960404248,438,0.6252147028512539,20
title_artist,10,singletons,1005,0.7270679867606359,0.2729320132393641,2911,0.37704853342885536,438,0.6252147028512539,20
title_artist,10,exclude,1006,1.0,0.0,1278,0.5981854724402186,187,0.5596015115080728,16
title_artist,10,single_cluster,1006,0.9956848833489963,0.004315116651003703,2911,0.06822952538286839,438,0.5596015115080728,16
title_artist,10,singletons,1006,0.999342492844347,0.0006575071556530476,2911,0.35147967197676433,438,0.5596015115080728,16
title_artist,10,exclude,1007,0.9195774153565868,0.08042258464341323,1086,0.732766479233194,161,0.6248711782892477,20
title_artist,10,single_cluster,1007,0.8107015376435662,0.18929846235643377,2911,0.05037234221418671,437,0.6248711782892477,20
title_artist,10,singletons,1007,0.7283560892679422,0.27164391073205785,2911,0.37162441678739483,437,0.6248711782892477,20
title_artist,10,exclude,1008,1.0,0.0,1277,0.5981854724402186,187,0.5592579869460667,16
title_artist,10,single_cluster,1008,0.9938179513210427,0.00618204867895733,2911,0.06884356133916653,437,0.5592579869460667,16
title_artist,10,singletons,1008,0.998256105434983,0.0017438945650170012,2911,0.35152222875259076,437,0.5592579869460667,16
title_artist,10,exclude,1009,1.0,0.0,1275,0.5935434990623276,188,0.5596015115080728,16
title_artist,10,single_cluster,1009,0.9898537516054202,0.010146248394579782,2911,0.06713348187116697,438,0.5596015115080728,16
